year,gross_ret,net_ret,bh_ret,avg_pos,n_overrides,n_blocked,n_stop_hit
2012,0.0,0.0,-0.04991314690172122,0.0,0.0,0.0,0.0
2013,0.0,0.0,-0.30815474190202585,0.0,0.0,0.0,0.0
2014,0.0,0.0,-0.13654385931423907,0.0,0.0,0.0,0.0
2015,0.0,0.0,-0.2823453366425984,0.0,1.0,0.0,0.0
2016,0.2023542612373086,0.1999249927551865,-0.2472615692907708,-0.6335221870319613,1.0,0.0,0.0
2017,-0.038173071037737705,-0.04082982922556322,-0.12791232645921746,0.6362880565727115,3.0,0.0,3.0
2018,0.034142330994915815,0.03286717624753788,-0.011666465900519785,0.6794438912962611,3.0,0.0,4.0
2019,0.01190256434387571,0.010619187359963478,-0.013488264608248257,0.24185411170097426,1.0,0.0,1.0
2020,0.018581985704486215,0.01759160828549655,0.05811300553570864,0.1540446082200231,1.0,0.0,0.0
2021,0.054483802113000745,0.053244866670570046,0.19386064621793286,0.4506696043115596,1.0,0.0,0.0
2022,0.02791525475364054,0.02727069649394065,0.0798310743763817,0.26162600600922675,0.0,0.0,1.0
2023,0.07274825481796232,0.07158563565118548,-0.2518808777858489,-0.26462180073161284,0.0,0.0,0.0
2024,0.11628758662520955,0.11506593626234207,-0.19263159446422018,-0.5586748972580213,0.0,0.0,3.0
