entry_date,exit_date,direction,duration_mo,avg_position,total_ret,best_month,worst_month,win_rate,entry_signal,exit_signal,entry_usda,entry_stress
2018-09-28,2019-01-31,LONG,4,0.6,-0.06,-0.0068,-0.03,0.0,0.6,0.275,1.0,0.0
2018-03-29,2018-04-30,LONG,1,0.446,-0.03,-0.03,-0.03,0.0,0.446,0.483,1.0,-0.385
2017-08-31,2017-09-29,LONG,1,0.692,-0.03,-0.03,-0.03,0.0,0.692,0.6,1.0,0.23
2017-07-31,2017-08-31,LONG,1,0.972,-0.03,-0.03,-0.03,0.0,0.972,0.692,1.0,0.93
2018-06-29,2018-07-31,LONG,1,0.898,-0.03,-0.03,-0.03,0.0,0.898,0.833,1.0,0.746
2018-08-31,2018-09-28,LONG,1,0.897,-0.03,-0.03,-0.03,0.0,0.897,0.6,1.0,0.743
2022-06-30,2022-07-29,LONG,1,0.409,-0.03,-0.03,-0.03,0.0,0.409,0.353,0.428,0.38
2024-04-30,2024-05-31,SHORT,1,-0.446,-0.03,-0.03,-0.03,0.0,-0.446,-0.563,-0.919,0.265
2024-05-31,2024-06-28,SHORT,1,-0.563,-0.03,-0.03,-0.03,0.0,-0.563,-0.507,-0.919,-0.03
2021-05-28,2021-06-30,LONG,1,0.465,-0.0275,-0.0275,-0.0275,0.0,0.465,0.681,0.694,0.121
2017-03-31,2017-04-28,LONG,1,0.585,-0.0264,-0.0264,-0.0264,0.0,0.585,0.2,1.0,-0.037
2022-07-29,2022-08-31,LONG,1,0.353,-0.0262,-0.0262,-0.0262,0.0,0.353,0.261,0.428,0.24
2019-07-31,2019-08-30,LONG,1,0.349,-0.0256,-0.0256,-0.0256,0.0,0.349,0.278,0.458,0.186
2019-08-30,2019-09-30,LONG,1,0.278,-0.023,-0.023,-0.023,0.0,0.278,0.275,0.458,0.007
2021-03-31,2021-04-30,LONG,1,0.215,-0.0185,-0.0185,-0.0185,0.0,0.215,0.391,0.694,-0.502
2019-01-31,2019-03-29,LONG,2,0.275,-0.0182,0.0122,-0.03,0.5,0.275,-0.125,0.458,0.0
2022-09-30,2023-01-31,LONG,4,0.257,-0.0153,0.0187,-0.0269,0.25,0.257,-0.292,0.428,0.0
2016-04-29,2016-05-31,SHORT,1,-1.0,-0.0127,-0.0127,-0.0127,0.0,-1.0,-0.387,-1.0,-1.0
2020-04-30,2020-05-29,SHORT,1,-0.077,-0.0125,-0.0125,-0.0125,0.0,-0.077,0.156,0.275,-0.606
2017-04-28,2017-05-31,LONG,1,0.2,-0.0118,-0.0118,-0.0118,0.0,0.2,0.709,1.0,-1.0
2023-06-30,2023-07-31,SHORT,1,-0.153,-0.0105,-0.0105,-0.0105,0.0,-0.153,-0.223,-0.486,0.347
2020-06-30,2020-07-31,LONG,1,0.283,-0.0085,-0.0085,-0.0085,0.0,0.283,0.13,0.275,0.295
2023-07-31,2023-08-31,SHORT,1,-0.223,-0.0064,-0.0064,-0.0064,0.0,-0.223,-0.24,-0.486,0.171
2017-01-31,2017-03-31,LONG,2,0.6,-0.0042,0.0144,-0.0183,0.5,0.6,0.585,1.0,0.0
2019-03-29,2019-04-30,SHORT,1,-0.125,-0.0041,-0.0041,-0.0041,0.0,-0.125,0.181,0.458,-1.0
2023-09-29,2024-01-31,SHORT,4,-0.292,-0.0039,0.0168,-0.0112,0.25,-0.292,-0.551,-0.486,0.0
2020-01-31,2020-04-30,LONG,3,0.165,-0.0033,0.0113,-0.0084,0.333,0.165,-0.077,0.275,0.0
2024-08-30,2024-09-30,SHORT,1,-0.638,-0.0032,-0.0032,-0.0032,0.0,-0.638,-0.551,-0.919,-0.217
2024-03-28,2024-04-30,SHORT,1,-0.717,-0.002,-0.002,-0.002,0.0,-0.717,-0.446,-0.919,-0.415
2017-05-31,2017-06-30,LONG,1,0.709,-0.0001,-0.0001,-0.0001,0.0,0.709,0.878,1.0,0.272
2020-05-29,2020-06-30,LONG,1,0.156,0.0001,0.0001,0.0001,1.0,0.156,0.283,0.275,-0.022
2021-01-29,2021-03-31,LONG,2,0.416,0.0023,0.0029,-0.0007,0.5,0.416,0.215,0.694,0.0
2020-08-31,2020-09-30,LONG,1,0.2,0.0026,0.0026,0.0026,1.0,0.2,0.165,0.275,0.088
2022-08-31,2022-09-30,LONG,1,0.261,0.0033,0.0033,0.0033,1.0,0.261,0.257,0.428,0.011
2019-06-28,2019-07-31,LONG,1,0.349,0.0037,0.0037,0.0037,1.0,0.349,0.349,0.458,0.185
2023-03-31,2023-04-28,SHORT,1,-0.423,0.0037,0.0037,0.0037,1.0,-0.423,-0.218,-0.486,-0.329
2019-04-30,2019-05-31,LONG,1,0.181,0.0083,0.0083,0.0083,1.0,0.181,0.221,0.458,-0.234
2022-05-31,2022-06-30,LONG,1,0.216,0.0094,0.0094,0.0094,1.0,0.216,0.409,0.428,-0.103
2018-05-31,2018-06-29,LONG,1,0.995,0.0101,0.0101,0.0101,1.0,0.995,0.898,1.0,0.989
2022-04-29,2022-05-31,LONG,1,0.177,0.0104,0.0104,0.0104,1.0,0.177,0.216,0.428,-0.198
2023-05-31,2023-06-30,SHORT,1,-0.167,0.011,0.011,0.011,1.0,-0.167,-0.153,-0.486,0.311
2016-09-30,2017-01-31,SHORT,4,-0.6,0.0117,0.0401,-0.0125,0.25,-0.6,0.6,-1.0,0.0
2021-06-30,2021-07-30,LONG,1,0.681,0.012,0.012,0.012,1.0,0.681,0.606,0.694,0.661
2016-01-29,2016-04-29,SHORT,3,-0.6,0.0128,0.0364,-0.0228,0.333,-0.6,-1.0,-1.0,0.0
2023-01-31,2023-03-31,SHORT,2,-0.292,0.013,0.0215,-0.0084,0.5,-0.292,-0.423,-0.486,0.0
2024-09-30,2024-12-31,SHORT,4,-0.551,0.0135,0.0375,-0.03,0.5,-0.551,-0.551,-0.919,0.0
2021-07-30,2021-08-31,LONG,1,0.606,0.0141,0.0141,0.0141,1.0,0.606,0.552,0.694,0.475
2021-08-31,2021-09-30,LONG,1,0.552,0.0149,0.0149,0.0149,1.0,0.552,0.416,0.694,0.34
2021-09-30,2022-01-31,LONG,4,0.416,0.0186,0.0265,-0.0104,0.5,0.416,0.257,0.694,0.0
2020-07-31,2020-08-31,LONG,1,0.13,0.0196,0.0196,0.0196,1.0,0.13,0.2,0.275,-0.088
2020-09-30,2021-01-29,LONG,4,0.165,0.0209,0.0136,-0.0026,0.75,0.165,0.416,0.275,0.0
2016-06-30,2016-07-29,SHORT,1,-0.677,0.0213,0.0213,0.0213,1.0,-0.677,-0.716,-1.0,-0.194
2023-08-31,2023-09-29,SHORT,1,-0.24,0.024,0.024,0.024,1.0,-0.24,-0.292,-0.486,0.129
2019-05-31,2019-06-28,LONG,1,0.221,0.0255,0.0255,0.0255,1.0,0.221,0.349,0.458,-0.136
2017-09-29,2018-03-29,LONG,6,0.6,0.0273,0.0332,-0.03,0.5,0.6,0.446,1.0,0.0
2022-03-31,2022-04-29,LONG,1,0.183,0.0296,0.0296,0.0296,1.0,0.183,0.177,0.428,-0.185
2024-07-31,2024-08-30,SHORT,1,-0.524,0.0353,0.0353,0.0353,1.0,-0.524,-0.638,-0.919,0.067
2016-07-29,2016-08-31,SHORT,1,-0.716,0.0369,0.0369,0.0369,1.0,-0.716,-0.622,-1.0,-0.291
2018-04-30,2018-05-31,LONG,1,0.483,0.0374,0.0374,0.0374,1.0,0.483,0.995,1.0,-0.293
2021-04-30,2021-05-28,LONG,1,0.391,0.0391,0.0391,0.0391,1.0,0.391,0.465,0.694,-0.063
2023-04-28,2023-05-31,SHORT,1,-0.218,0.0408,0.0408,0.0408,1.0,-0.218,-0.167,-0.486,0.183
2024-01-31,2024-03-28,SHORT,2,-0.551,0.0427,0.0282,0.0142,1.0,-0.551,-0.717,-0.919,0.0
2019-09-30,2020-01-31,LONG,4,0.275,0.0474,0.019,0.0067,1.0,0.275,0.165,0.458,0.0
2022-01-31,2022-03-31,LONG,2,0.257,0.049,0.0537,-0.0045,0.5,0.257,0.183,0.428,0.0
2016-05-31,2016-06-30,SHORT,1,-0.387,0.0501,0.0501,0.0501,1.0,-0.387,-0.677,-1.0,0.534
2016-08-31,2016-09-30,SHORT,1,-0.622,0.0689,0.0689,0.0689,1.0,-0.622,-0.6,-1.0,-0.055
2018-07-31,2018-08-31,LONG,1,0.833,0.0788,0.0788,0.0788,1.0,0.833,0.897,1.0,0.584
2024-06-28,2024-07-31,SHORT,1,-0.507,0.09,0.09,0.09,1.0,-0.507,-0.524,-0.919,0.11
2017-06-30,2017-07-31,LONG,1,0.878,0.1077,0.1077,0.1077,1.0,0.878,0.972,1.0,0.694
