metric,window,pearson_r,pearson_p,spearman_rho,spearman_p,n,significant
soil_moisture,month_09,0.3173,0.1729,0.2647,0.2595,20,False
lst_c,month_09,-0.2935,0.2092,-0.2586,0.2709,20,False
lst_c,month_03,0.2547,0.1398,0.1644,0.3452,35,False
rainfall_mm,month_06,0.2445,0.1186,0.2171,0.1673,42,False
lst_c,month_04,0.2423,0.1319,0.2614,0.1033,40,False
lst_c,month_05,-0.2237,0.1396,-0.2926,0.0511,45,False
ndwi,month_04,-0.2113,0.2161,-0.2745,0.1051,36,False
rainfall_mm,month_05,0.2002,0.1873,0.1602,0.2931,45,False
ndvi,month_04,0.1977,0.2478,0.2861,0.0907,36,False
ndvi,month_09,0.1879,0.441,0.2123,0.3829,19,False
ndwi,month_05,-0.1784,0.2708,-0.14,0.389,40,False
ndvi,month_05,0.178,0.2718,0.1364,0.4013,40,False
soil_moisture,month_05,0.161,0.2907,0.1215,0.4267,45,False
ndwi,month_06,0.1516,0.3706,0.115,0.498,37,False
lst_c,month_06,-0.1419,0.3699,-0.0905,0.5686,42,False
soil_moisture,month_03,-0.1378,0.43,-0.0216,0.9021,35,False
ndwi,month_08,-0.1364,0.4076,-0.1377,0.4033,39,False
soil_moisture,month_04,-0.1349,0.4067,-0.1439,0.3757,40,False
rainfall_mm,month_08,0.1344,0.3787,0.085,0.5789,45,False
soil_moisture,month_06,0.1277,0.4203,0.1544,0.329,42,False
ndwi,month_03,-0.1139,0.5281,-0.2689,0.1302,33,False
ndwi,month_09,-0.1121,0.6479,-0.0702,0.7753,19,False
ndvi,month_06,-0.1058,0.5333,-0.0607,0.7212,37,False
lst_c,month_08,0.1016,0.5068,0.1228,0.4216,45,False
soil_moisture,month_07,-0.0793,0.6045,-0.0057,0.9705,45,False
ndwi,month_07,0.0678,0.6736,0.0634,0.6937,41,False
ndvi,month_07,-0.0609,0.7053,-0.0557,0.7292,41,False
rainfall_mm,month_03,-0.0605,0.73,-0.0501,0.7748,35,False
lst_c,month_07,-0.0576,0.707,-0.0805,0.5991,45,False
rainfall_mm,ALL,0.0498,0.4134,0.0413,0.4974,272,False
soil_moisture,month_08,-0.0475,0.7566,-0.026,0.8656,45,False
ndvi,month_08,0.0426,0.7968,0.0502,0.7615,39,False
rainfall_mm,month_07,-0.0372,0.8085,-0.0406,0.7913,45,False
ndvi,month_03,0.0299,0.8686,0.2452,0.1691,33,False
ndwi,ALL,-0.0298,0.6424,-0.0482,0.4524,245,False
lst_c,ALL,-0.0181,0.7668,-0.0538,0.3767,272,False
rainfall_mm,month_04,0.0158,0.923,0.0987,0.5446,40,False
soil_moisture,ALL,-0.0109,0.8578,0.0353,0.5621,272,False
rainfall_mm,month_09,-0.0088,0.9708,0.0992,0.6772,20,False
ndvi,ALL,0.0063,0.9216,0.0429,0.504,245,False
